zone,class_id,class_name,pixel_count,persistence_mean,congestion_mean,high_risk_pixels,congestion_pct,twi_included
ALL,,all_valid,872135,0.0744,0.0744,73043,8.38,False
LULC,1,"{'name': 'Water', 'color': '#1f77b4'}",15604,0.7038,0.7038,15485,99.24,False
LULC,2,"{'name': 'Vegetation', 'color': '#2ca02c'}",117892,0.0,0.0,0,0.0,False
LULC,3,"{'name': 'Agriculture', 'color': '#ffeb3b'}",363366,0.0002,0.0002,0,0.0,False
LULC,4,"{'name': 'BareSoil', 'color': '#8c564b'}",117011,0.4312,0.4312,55225,47.2,False
LULC,5,"{'name': 'BuiltUp', 'color': '#d62728'}",44062,0.0659,0.0659,2322,5.27,False
LULC,6,"{'name': 'Fallow', 'color': '#9467bd'}",214200,0.0023,0.0023,11,0.01,False
